Item,Description,Details,Class Description,Rotating,Status,Location,Vendor,UNITCOST,DUPLICATES,Macro,,Commodity Code,"0 = Good, 1 = Duplicate, 2 = Cost?, 3 = 1&2"
100098,"24v DU Power Supply, Power Electronics, L489","24v DU Power Supply, Power Electronics, L489",INVENTORY,N,ACTIVE,o,,,,,,,
100099,"Wind Sensor, Nextracker, Windsonic 1405-PK-038","Wind Sensor, Nextracker, Windsonic 1405-PK-038",INVENTORY,N,ACTIVE,o,,,,,,,
1001,,,,N,ACTIVE,,,,,,,,
100100,"Tracker SPC, Nextracker, NX Horizon SPC 150A","Tracker SPC, Nextracker, NX Horizon SPC 150A",INVENTORY,N,ACTIVE,o,,,,,,,
100101,"Dampener, Nextracker, Tracker Motor Assembly","Dampener, Nextracker, Tracker Motor Assembly",INVENTORY,N,ACTIVE,o,,,,,,,
100102,"Tracker Motor, Nextracker, Tracker Motor  60BYA095B34C-01","Tracker Motor, Nextracker, Tracker Motor  60BYA095B34C-01",INVENTORY,N,ACTIVE,o,,,,,,,
100103,"Antennae, Nextracker, XMTS-W2A3-1M-W-001","Antennae, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100104,"NCU, Nextracker,","NCU, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100106,"Torque Tube End Cap, Nextracker,","Torque Tube End Cap, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100108,"Nextracker SPC Weather Station, Nextracker, SPC100-B COLD (Grey)","Nextracker SPC Weather Station, Nextracker, SPC100-B COLD (Grey)",INVENTORY,N,ACTIVE,o,,,,,,,
100109,"Nextracker SPC Weather Station, Nextracker, SPC100-WS-COLD (Yellow)","Nextracker SPC Weather Station, Nextracker, SPC100-WS-COLD (Yellow)",INVENTORY,N,ACTIVE,o,,,,,,,
100111,"Tracker Modules, Nextracker, 70W Tracker Modules","Tracker Modules, Nextracker, 70W Tracker Modules",INVENTORY,N,ACTIVE,o,,,,,,,
100112,"Substation Cap cell, ,","Substation Cap cell, ,",INVENTORY,N,ACTIVE,o,,,,,,,
100113,"Aluminum Connector plug 15 & 25KV 600A, ,","Aluminum Connector plug 15 & 25KV 600A, ,",INVENTORY,N,ACTIVE,o,,,,,,,
100115,"Pyranometer cables, ,","Pyranometer cables, ,",INVENTORY,N,ACTIVE,o,,,,,,,
100116,"Module Temp Sensor, ,","Module Temp Sensor, ,",INVENTORY,N,ACTIVE,o,,,,,,,
100121,"MC4 Male 10 Gauge 1000v 30A, ,","MC4 Male 10 Gauge 1000v 30A, ,",INVENTORY,N,ACTIVE,o,,,,,,,
100122,"MC4 Female 10 Gauge 1000v 30A, ,","MC4 Female 10 Gauge 1000v 30A, ,",INVENTORY,N,ACTIVE,o,,,,,,,
100123,"CB Doors White, ,","CB Doors White, ,",INVENTORY,N,ACTIVE,o,,,,,,,
100124,"Elbow, Arrestor, Raychem, ELB-35-600-ARSTR30-W","Elbow, Arrestor, Raychem, ELB-35-600-ARSTR30-W",INVENTORY,N,ACTIVE,o,,,,,,,
100133,"Clamp, Eaton, 2637023B02","Clamp, Eaton, 2637023B02",INVENTORY,N,ACTIVE,o,,,,,,,
100134,"Gasket, Eaton, 0537980C06","Gasket, Eaton, 0537980C06",INVENTORY,N,ACTIVE,o,,,,,,,
100136,"Communication Board, Sungrow, BP004543","Communication Board, Sungrow, BP004543",INVENTORY,N,ACTIVE,o,,,,,,,
100150,"Shunt Adapter Board, Sungrow, BO004611","Shunt Adapter Board, Sungrow, BO004611",INVENTORY,N,ACTIVE,o,,,,,,,
100153,"Microcomputer Board, Sungrow, BP005631","Microcomputer Board, Sungrow, BP005631",INVENTORY,N,ACTIVE,o,,,,,,,
100158,"LCD Display, Sungrow, NY000039","LCD Display, Sungrow, NY000039",INVENTORY,N,ACTIVE,o,,,,,,,
100159,"UPS Battery, Phoenix Contact, UPS-BAT/PB/24/DC/4AH","UPS Battery, Phoenix Contact, UPS-BAT/PB/24/DC/4AH",INVENTORY,N,ACTIVE,o,,,,,,,
100165,"Capacitor, Sungrow, CM000475","Capacitor, Sungrow, CM000475",INVENTORY,N,ACTIVE,o,,,,,,,
100167,"Datalogger, Sungrow, Logger3000","Datalogger, Sungrow, Logger3000",INVENTORY,N,ACTIVE,o,,,,,,,
100168,"Fan, Sungrow, ES000124","Fan, Sungrow, ES000124",INVENTORY,N,ACTIVE,o,,,,,,,
100169,"Fan, Sungrow, ES000132","Fan, Sungrow, ES000132",INVENTORY,N,ACTIVE,o,,,,,,,
100171,"Oil Level Gauge, Qualitrol, 032-35E CS-40644","Oil Level Gauge, Qualitrol, 032-35E CS-40644",INVENTORY,N,ACTIVE,d,,,,,,,
100172,"Temperature Gauge, Qualitrol, 167-246-01","Temperature Gauge, Qualitrol, 167-246-01",INVENTORY,N,ACTIVE,d,,,,,,,
100174,"Splice Kit, Raychem, CSJA-3524-M9","Splice Kit, Raychem, CSJA-3524-M9",INVENTORY,N,ACTIVE,o,,,,,,,
100175,"Splice Kit, Raychem, CSJA-3524-M8","Splice Kit, Raychem, CSJA-3524-M8",INVENTORY,N,ACTIVE,o,,,,,,,
100176,"Splice Kit, Raychem, CSJA-3523-M5","Splice Kit, Raychem, CSJA-3523-M5",INVENTORY,N,ACTIVE,o,,,,,,,
100177,"Cable Jacket Repair, 3M, HDCW-80-25-750","Cable Jacket Repair, 3M, HDCW-80-25-750",INVENTORY,N,ACTIVE,o,,,,,,,
100178,"Cable Jacket Repair, Raychem, CRSM-107/29-1200","Cable Jacket Repair, Raychem, CRSM-107/29-1200",INVENTORY,N,ACTIVE,o,,,,,,,
100179,"LBD, Shoals, STG.DCD.01-C400BNDD.DSA","LBD, Shoals, STG.DCD.01-C400BNDD.DSA",INVENTORY,N,ACTIVE,d,,,,,,,
100180,"Capacitor, SMA, 6UP-200-001-001","Capacitor, SMA, 6UP-200-001-001",INVENTORY,N,ACTIVE,o,,,,,,,
100181,"IGBT Stack, SMA, SC-ST1512.2D-S","IGBT Stack, SMA, SC-ST1512.2D-S",INVENTORY,N,ACTIVE,o,,,,,,,
100182,"GFI Module Board, SMA, 6UP-450-009-002","GFI Module Board, SMA, 6UP-450-009-002",INVENTORY,N,ACTIVE,o,,,,,,,
100183,"Communication Board, SMA, 6UP-450-002-001","Communication Board, SMA, 6UP-450-002-001",INVENTORY,N,ACTIVE,o,,,,,,,
100184,"Controller Board, SMA, 6UP-450-008-001","Controller Board, SMA, 6UP-450-008-001",INVENTORY,N,ACTIVE,o,,,,,,,
100186,"Controller Board, SMA, 6UP-450-004-001","Controller Board, SMA, 6UP-450-004-001",INVENTORY,N,ACTIVE,o,,,,,,,
100190,"Driver Board, SMA, 6UP-778-003-003","Driver Board, SMA, 6UP-778-003-003",INVENTORY,N,ACTIVE,o,,,,,,,
100191,"Driver Board, SMA, 6UP-778-003-002","Driver Board, SMA, 6UP-778-003-002",INVENTORY,N,ACTIVE,o,,,,,,,
100192,"SC-UP DST Driver Board, SMA, 6UP-778-003-001","SC-UP DST Driver Board, SMA, 6UP-778-003-001",INVENTORY,N,ACTIVE,o,,,,,,,
100193,"Switch, Ntron, 708FXE2-SC-15","Switch, Ntron, 708FXE2-SC-15",INVENTORY,N,ACTIVE,o,,,,,,,
100194,"Combiner Box, Shoals, STH.DCB.16.C400BCG.BSAN","Combiner Box, Shoals, STH.DCB.16.C400BCG.BSAN",INVENTORY,N,ACTIVE,d,,,,,,,
100195,"Board, SMA, 6UP-811-001-001","Board, SMA, 6UP-811-001-001",INVENTORY,N,ACTIVE,o,,,,,,,
100196,"Power Supply, SMA, SC-UP","Power Supply, SMA, SC-UP",INVENTORY,N,ACTIVE,o,,,,,,,
100197,"Bussbar, SMA, 19042-00.01","Bussbar, SMA, 19042-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100198,"Power Supply, Phoenix Contact, UNO-PS/1AC/24DV60W/C24PS","Power Supply, Phoenix Contact, UNO-PS/1AC/24DV60W/C24PS",INVENTORY,N,ACTIVE,o,,,,,,,
100199,"Power Supply, Phoenix Contact, UNO-PS/1AC/24DV55W/C24PS","Power Supply, Phoenix Contact, UNO-PS/1AC/24DV55W/C24PS",INVENTORY,N,ACTIVE,o,,,,,,,
100200,"Fan, SMA, 6UP-720-001-001","Fan, SMA, 6UP-720-001-001",INVENTORY,N,ACTIVE,o,,,,,,,
100201,"Motor, Jiangnan Yifan,","Motor, Jiangnan Yifan,",INVENTORY,N,ACTIVE,o,,,,,,,
100202,"Duct, SMA,","Duct, SMA,",INVENTORY,N,ACTIVE,d,,,,,,,
100203,"Combiner Box, Shoals, 1500 Vdc","Combiner Box, Shoals, 1500 Vdc",INVENTORY,N,ACTIVE,d,,,,,,,
100205,"Plug, Hubbell, 635BIP","Plug, Hubbell, 635BIP",INVENTORY,N,ACTIVE,o,,,,,,,
100207,"Pressure Gauge, WIKA, 458B16102","Pressure Gauge, WIKA, 458B16102",INVENTORY,N,ACTIVE,o,,,,,,,
100209,"Oil Level Gauge, GE Prolec, Orto","Oil Level Gauge, GE Prolec, Orto",INVENTORY,N,ACTIVE,o,,,,,,,
100210,"Temperature Gauge, GE Prolec, Orto","Temperature Gauge, GE Prolec, Orto",INVENTORY,N,ACTIVE,o,,,,,,,
100211,"Pressure Gauge, Qualitrol, HG52","Pressure Gauge, Qualitrol, HG52",INVENTORY,N,ACTIVE,o,,,,,,,
100214,"Tap Changer, GE Prolec, 609C178G14","Tap Changer, GE Prolec, 609C178G14",INVENTORY,N,ACTIVE,d,,,,,,,
100217,"Schrader Valve, Worth, JB A31484","Schrader Valve, Worth, JB A31484",INVENTORY,N,ACTIVE,o,,,,,,,
100218,"Pressure Relief Valve, GE Prolec, 202-032-01","Pressure Relief Valve, GE Prolec, 202-032-01",INVENTORY,N,ACTIVE,o,,,,,,,
100219,"Power Supply Board, GE Prolec, 4FGB4514P002","Power Supply Board, GE Prolec, 4FGB4514P002",INVENTORY,N,ACTIVE,o,,,,,,,
100221,"Fan, Tmeic, 4FBG9683P061","Fan, Tmeic, 4FBG9683P061",INVENTORY,N,ACTIVE,o,,,,,,,
100225,"Transformer, Hammond, 240376","Transformer, Hammond, 240376",INVENTORY,N,ACTIVE,o,,,,,,,
100226,"Cable Jacket Repair, 3M, HDCW80/25-1200","Cable Jacket Repair, 3M, HDCW80/25-1200",INVENTORY,N,ACTIVE,o,,,,,,,
100227,"Cable Jacket Repair, 3M, HDCW110/30-1200","Cable Jacket Repair, 3M, HDCW110/30-1200",INVENTORY,N,ACTIVE,o,,,,,,,
100231,"Shearbolt Lug, 3M, Ql2-A-1500-2000","Shearbolt Lug, 3M, Ql2-A-1500-2000",INVENTORY,N,ACTIVE,d,,,,,,,
100232,"Termination Kit, 3M, 7666-S-8","Termination Kit, 3M, 7666-S-8",INVENTORY,N,ACTIVE,o,,,,,,,
100233,"Splice Kit, Raychem, CSJ-SR-3513M5","Splice Kit, Raychem, CSJ-SR-3513M5",INVENTORY,N,ACTIVE,o,,,,,,,
100234,"Splice Kit, Raychem, CSJ-SR-3515M11","Splice Kit, Raychem, CSJ-SR-3515M11",INVENTORY,N,ACTIVE,o,,,,,,,
100235,"Capacitor, Tmeic, 4FBGA090P001","Capacitor, Tmeic, 4FBGA090P001",INVENTORY,N,ACTIVE,o,,,,,,,
100238,"Disconnect Switch, Socomec, 22153403","Disconnect Switch, Socomec, 22153403",INVENTORY,N,ACTIVE,o,,,,,,,
100239,"RTAC, SEL, SEL-3505-3","RTAC, SEL, SEL-3505-3",INVENTORY,N,ACTIVE,d,,,,,,,
100240,"Gate Driver Board, Tmeic, Ninja","Gate Driver Board, Tmeic, Ninja",INVENTORY,N,ACTIVE,o,,,,,,,
100242,"Relay, Qualitrol, 909-300-02","Relay, Qualitrol, 909-300-02",INVENTORY,N,ACTIVE,o,,,,,,,
100253,"Pressure Gauge, SMA, 6UP-577-003-00","Pressure Gauge, SMA, 6UP-577-003-00",INVENTORY,N,ACTIVE,o,,,,,,,
100255,"POA Pyronometer , Kipp&Zonen, CMP11","POA Pyronometer , Kipp&Zonen, CMP11",INVENTORY,N,ACTIVE,o,,,,,,,
100257,"Power Supply, SMA, C-TEC 2403-1","Power Supply, SMA, C-TEC 2403-1",INVENTORY,N,ACTIVE,o,,,,,,,
100259,"Door Spring, SMA, 104594-00.02","Door Spring, SMA, 104594-00.02",INVENTORY,N,ACTIVE,o,,,,,,,
100260,"Contactor, Eaton, XTCE500M","Contactor, Eaton, XTCE500M",INVENTORY,N,ACTIVE,o,,,,,,,
100262,"Fan, EBMPAPST, K3G450-AZ30","Fan, EBMPAPST, K3G450-AZ30",INVENTORY,N,ACTIVE,o,,,,,,,
100263,"Rubber Insulator Mount, , Series 4 Module","Rubber Insulator Mount, , Series 4 Module",INVENTORY,N,ACTIVE,o,,,,,,,
100264,"Racking, Nextracker, First Solar Series 4","Racking, Nextracker, First Solar Series 4",INVENTORY,N,ACTIVE,d,,,,,,,
100265,"WS Mount, Nextracker, Galvanized","WS Mount, Nextracker, Galvanized",INVENTORY,N,ACTIVE,o,,,,,,,
100266,"BHA Bearing, Nextracker, 210110","BHA Bearing, Nextracker, 210110",INVENTORY,N,ACTIVE,o,,,,,,,
100267,"BHA Mount, Nextracker, Galvanized","BHA Mount, Nextracker, Galvanized",INVENTORY,N,ACTIVE,o,,,,,,,
100268,"Damper Mount, Nextracker, 43013","Damper Mount, Nextracker, 43013",INVENTORY,N,ACTIVE,o,,,,,,,
100269,"Damper Mount, Nextracker, 210609","Damper Mount, Nextracker, 210609",INVENTORY,N,ACTIVE,o,,,,,,,
100270,"Gear Mount, Nextracker, 210120","Gear Mount, Nextracker, 210120",INVENTORY,N,ACTIVE,o,,,,,,,
100272,"Stack Removal Tool, SMA, Stack Removal","Stack Removal Tool, SMA, Stack Removal",INVENTORY,N,ACTIVE,o,,,,,,,
100273,"Splice Kit, Burndy, YS39A1","Splice Kit, Burndy, YS39A1",INVENTORY,N,ACTIVE,o,,,,,,,
100275,"Board, SMA, SC30DCSHUNT.BG2","Board, SMA, SC30DCSHUNT.BG2",INVENTORY,N,ACTIVE,o,,,,,,,
100276,"NCU Antenna, Nextracker, XNTS-W2A1-15006-1P-W-003","NCU Antenna, Nextracker, XNTS-W2A1-15006-1P-W-003",INVENTORY,N,ACTIVE,o,,,,,,,
100277,"SCP Antenna, Nextracker, XNTS-W2A3-1M-W-001","SCP Antenna, Nextracker, XNTS-W2A3-1M-W-001",INVENTORY,N,ACTIVE,o,,,,,,,
100279,"Sensor Cable, Gill, 1405-PK-038","Sensor Cable, Gill, 1405-PK-038",INVENTORY,N,ACTIVE,o,,,,,,,
100281,"Remote Switch, ABB, S800-RSU-H","Remote Switch, ABB, S800-RSU-H",INVENTORY,N,ACTIVE,o,,,,,,,
100282,"Server, MOXA, NPort 52321","Server, MOXA, NPort 52321",INVENTORY,N,ACTIVE,o,,,,,,,
100284,"Undervoltage Release Coil, SMA, 103135-00.01","Undervoltage Release Coil, SMA, 103135-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100288,"Bender, Bender, B91065602","Bender, Bender, B91065602",INVENTORY,N,ACTIVE,o,,,,,,,
100289,"Closing Release Coil, SMA, 60-090100.01","Closing Release Coil, SMA, 60-090100.01",INVENTORY,N,ACTIVE,o,,,,,,,
100290,"Undervoltage Release Coil, SMA, 60-090000.01","Undervoltage Release Coil, SMA, 60-090000.01",INVENTORY,N,ACTIVE,o,,,,,,,
100291,"Controller Board, SMA, 6UP-450-002-002","Controller Board, SMA, 6UP-450-002-002",INVENTORY,N,ACTIVE,o,,,,,,,
100293,"Capacitor, SMA, 65-89002092.03-S","Capacitor, SMA, 65-89002092.03-S",INVENTORY,N,ACTIVE,o,,,,,,,
100294,"Lug, Burndy, YA36A3","Lug, Burndy, YA36A3",INVENTORY,N,ACTIVE,o,,,,,,,
100295,"Splice Kit, 3M, WF104","Splice Kit, 3M, WF104",INVENTORY,N,ACTIVE,o,,,,,,,
100297,"Power Supply, SMA, 100678-00.04","Power Supply, SMA, 100678-00.04",INVENTORY,N,ACTIVE,o,,,,,,,
100298,"Controller Board, SMA, SC30ACC.GR5","Controller Board, SMA, SC30ACC.GR5",INVENTORY,N,ACTIVE,o,,,,,,,
100299,"Controller Board, SMA, 24V","Controller Board, SMA, 24V",INVENTORY,N,ACTIVE,o,,,,,,,
100300,"DC Control Board, SMA, 24V","DC Control Board, SMA, 24V",INVENTORY,N,ACTIVE,o,,,,,,,
100301,"Fiber Cable, SMA, 104821-00-02","Fiber Cable, SMA, 104821-00-02",INVENTORY,N,ACTIVE,o,,,,,,,
100302,"Board, SMA, 6AA-778-004-003","Board, SMA, 6AA-778-004-003",INVENTORY,N,ACTIVE,o,,,,,,,
100305,"Stack, SMA, 6AA-778-007-301","Stack, SMA, 6AA-778-007-301",INVENTORY,N,ACTIVE,o,,,,,,,
100306,"Wire, Shoals, 439420","Wire, Shoals, 439420",INVENTORY,N,ACTIVE,d,,,,,,,
100307,"Wire, Shoals, 426300","Wire, Shoals, 426300",INVENTORY,N,ACTIVE,d,,,,,,,
100314,"Contactor, Gigavac, HX241-031","Contactor, Gigavac, HX241-031",INVENTORY,N,ACTIVE,o,,,,,,,
100315,"Fan, Sanyo Denki, Inverter-Central Inverter, 48 Vdc, 9WG5748P5GD004-X1","Fan, Sanyo Denki, 9WG5748P5GD004-X1<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
100316,"Wire, Shoals, BLA.BVDS.2A","Wire, Shoals, BLA.BVDS.2A",INVENTORY,N,ACTIVE,d,,,,,,,
100317,"Wire, Shoals, BLA.BVDS.9B","Wire, Shoals, BLA.BVDS.9B",INVENTORY,N,ACTIVE,d,,,,,,,
100319,"Wire, Shoals, BLA.BVDS.9A","Wire, Shoals, BLA.BVDS.9A",INVENTORY,N,ACTIVE,d,,,,,,,
100320,"Wire, Shoals, BLA.BVDS.8A","Wire, Shoals, BLA.BVDS.8A",INVENTORY,N,ACTIVE,d,,,,,,,
100321,"Board, Sungrow, BP004789","Board, Sungrow, BP004789",INVENTORY,N,ACTIVE,o,,,,,,,
100322,"Wire, Shoals, BLA.BVDS.7A","Wire, Shoals, BLA.BVDS.7A",INVENTORY,N,ACTIVE,d,,,,,,,
100323,"Wire, Shoals, BLA.BVDS.6A","Wire, Shoals, BLA.BVDS.6A",INVENTORY,N,ACTIVE,d,,,,,,,
100324,"Wire, Shoals, BLA.BVDS.4A","Wire, Shoals, BLA.BVDS.4A",INVENTORY,N,ACTIVE,d,,,,,,,
100325,"Combiner Box, Shoals, 11 input","Combiner Box, Shoals, 11 input",INVENTORY,N,ACTIVE,d,,,,,,,
100331,"Wire, Paige Wire, 32PV75058BKS","Wire, Paige Wire, 32PV75058BKS",INVENTORY,N,ACTIVE,d,,,,,,,
100335,"Wire Clip, Shoals, STG.WMS.FS6-2","Wire Clip, Shoals, STG.WMS.FS6-2",INVENTORY,N,ACTIVE,d,,,,,,,
100336,"Terminal Block, Wago, 2002-2201","Terminal Block, Wago, 2002-2201",INVENTORY,N,ACTIVE,o,,,,,,,
100338,"Switch, MOXA, EDSâ€?408Aâ€?SSâ€?SCâ€?T","Switch, MOXA, EDSâ€?408Aâ€?SSâ€?SCâ€?T",INVENTORY,N,ACTIVE,o,,,,,,,
100339,"RTAC, SEL, 3505#CY3W","RTAC, SEL, 3505#CY3W",INVENTORY,N,ACTIVE,d,,,,,,,
100343,"Breaker, Schneider, M9F42102","Breaker, Schneider, M9F42102",INVENTORY,N,ACTIVE,o,,,,,,,
100352,"Breaker, Phoenix Contact, 2907559","Breaker, Phoenix Contact, 2907559",INVENTORY,N,ACTIVE,o,,,,,,,
100353,"Breaker, Phoenix Contact, 0916604","Breaker, Phoenix Contact, 0916604",INVENTORY,N,ACTIVE,o,,,,,,,
100354,"Handle, Shoals, OHB125L12EH","Handle, Shoals, OHB125L12EH",INVENTORY,N,ACTIVE,d,,,,,,,
100355,"Breaker, Siemens, B250","Breaker, Siemens, B250",INVENTORY,N,ACTIVE,o,,,,,,,
100356,"Breaker, Siemens, B120","Breaker, Siemens, B120",INVENTORY,N,ACTIVE,o,,,,,,,
100357,"Breaker, Siemens, B115","Breaker, Siemens, B115",INVENTORY,N,ACTIVE,o,,,,,,,
100358,"Breaker, Siemens, Type QP","Breaker, Siemens, Type QP",INVENTORY,N,ACTIVE,o,,,,,,,
100360,"NCU Antenna, Nextracker, 3m","NCU Antenna, Nextracker, 3m",INVENTORY,N,ACTIVE,o,,,,,,,
100361,"SPC Antenna, INFINEX, XNTS-W2A3-1M-W-001","SPC Antenna, INFINEX, XNTS-W2A3-1M-W-001",INVENTORY,N,ACTIVE,o,,,,,,,
100362,"Antenna Mount, Nextracker, 30516-B","Antenna Mount, Nextracker, 30516-B",INVENTORY,N,ACTIVE,o,,,,,,,
100363,"Anemometer, GILL INSTRUMENTS, 1405-PK-038","Anemometer, GILL INSTRUMENTS, 1405-PK-038",INVENTORY,N,ACTIVE,o,,,,,,,
100365,"SPC, Nextracker, Horizon","SPC, Nextracker, Horizon",INVENTORY,N,ACTIVE,o,,,,,,,
100367,"Fiber Splice, Corning, 2178-LS","Fiber Splice, Corning, 2178-LS",INVENTORY,N,ACTIVE,d,,,,,,,
100368,"Fiber Jumper, RLH Industries, RHL-JDR2SM-SDSD-01M","Fiber Jumper, RLH Industries, RHL-JDR2SM-SDSD-01M",INVENTORY,N,ACTIVE,d,,,,,,,
100369,"Fiber Pigtail, Fis, SC/UPC","Fiber Pigtail, Fis, SC/UPC",INVENTORY,N,ACTIVE,d,,,,,,,
100370,"Cold Shrink, 3M, WF104","Cold Shrink, 3M, WF104",INVENTORY,N,ACTIVE,o,,,,,,,
100371,"Lug, Burndy, YS39A1","Lug, Burndy, YS39A1",INVENTORY,N,ACTIVE,o,,,,,,,
100372,"Lug, 3M, QL-2-A-500-1000","Lug, 3M, QL-2-A-500-1000",INVENTORY,N,ACTIVE,o,,,,,,,
100375,"Plate, Wago, 2002-2292","Plate, Wago, 2002-2292",INVENTORY,N,ACTIVE,o,,,,,,,
100376,"Label, Wago, 793-475","Label, Wago, 793-475",INVENTORY,N,ACTIVE,o,,,,,,,
100377,"Wire, , Copper-Ground","Wire, , Copper-Ground",INVENTORY,N,ACTIVE,d,,,,,,,
